Embedding,Preprocessing,SimLex999,MTurk-287,MTurk-771,MEN_DEV,MEN_TEST,MEN_ALL,WS353_all,WS353_relatedness,WS353_similarity,WS353_set1,WS353_set2,RG65,VERB-143,MC-30,YP-130,SimVerb-3500,RW
Word2Vec,None,1,0.9581881533,1,0.981,0.984,0.982,1,1,1,1,1,1,0.9375,1,1,1,0.8972468043
GLOVE WIKI 6B,None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9994285714,0.8761061947
GLOVE CC 42B,L2 dimensionwise + L2 rowwise,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9896755162
GLOVE CC 840B,L2 dimensionwise + L2 rowwise,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.982300885
FastText Wiki,None,1,0.9930313589,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9665683382
FastText CC,None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9808259587
UKB,None,1,0.8013937282,0.9987029831,1,1,1,0.9801699717,0.9761904762,0.9802955665,0.9869281046,0.975,1,0.4166666667,1,1,1,0.6887905605
SketchEngine British National,None,0.996996997,0.9965156794,0.9961089494,1,0.996,0.9986666667,1,1,1,1,1,1,1,1,0.9923076923,0.998,0.750245821
SketchEngine web,None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9995083579
Numberbatch,None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8982300885
Turian_100d,None,0.998998999,0.7804878049,0.9922178988,0.956,0.966,0.9593333333,0.9915014164,0.996031746,0.9901477833,0.9869281046,0.995,0.9846153846,1,1,0.9538461538,0.9842857143,0.5614552606
Senna,None,0.998998999,0.9930313589,1,1,0.999,0.9996666667,1,1,1,1,1,1,1,1,0.9923076923,0.9802857143,0.5594886922
Multilingual512,None,0.998998999,0.9965156794,1,1,0.999,0.9996666667,1,1,1,1,1,1,1,1,1,0.9977142857,0.7059980334
SW2V_words and sense_wikipedia,None,1,0.8850174216,1,1,1,1,0.9490084986,0.9444444444,0.9655172414,0.9477124183,0.95,1,1,1,1,0.9994285714,0.9724680433
Contex_to_vec ukwac,None,0.998998999,0.9965156794,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985714286,0.7251720747
Contex_to_vec mscc,None,0.985985986,0.8919860627,0.9559014267,0.955,0.943,0.951,0.8923512748,0.8968253968,0.9064039409,0.8888888889,0.895,1,1,1,0.9384615385,0.9725714286,0.529006883
jointcHYB EN_ES,None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.918879056
jointcHYB EN_EU,None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8446411013
jointcHYB EN_IT,None,1,0.9965156794,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8815142576
Subword LexVec CC,None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9783677483
LexVec CC WordsVectors,None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9867256637
LexVec CC WordsVectors + ContexVectors,None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9867256637
LexVec Wiki+NewsCrawls WordsVectors,None,0.998998999,0.9965156794,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9994285714,0.8638151426
LexVec Wiki+NewsCrawls WordsVectors + ContexVectors,None,0.998998999,0.9965156794,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9994285714,0.8638151426
PDC. Iter 20. Alpha 0.05. Dims 50,None,1,0.9965156794,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9994285714,0.912979351
PDC. Iter 20. Alpha 0.05. Dims 100,None,1,0.9965156794,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9994285714,0.912979351
PDC. Iter 20. Alpha 0.05. Dims 300,None,1,0.9965156794,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9994285714,0.912979351
HDC. Iter 20. Alpha 0.025. Dims 50,None,1,0.9965156794,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9994285714,0.912979351
HDC. Iter 20. Alpha 0.025. Dims 100,None,1,0.9965156794,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9994285714,0.912979351
HDC. Iter 20. Alpha 0.025. Dims 300,None,1,0.9965156794,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9994285714,0.912979351
GLOVE Wiki 50,None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9994285714,0.8761061947
GLOVE Wiki 100,None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9994285714,0.8761061947
GLOVE Wiki 200,None,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9994285714,0.8761061947
GLLOVE twitter 25,None,0.998998999,0.9965156794,1,1,0.999,0.9996666667,0.9971671388,0.996031746,1,1,0.995,1,1,1,1,0.9988571429,0.5226155359
GLLOVE twitter 50,None,0.998998999,0.9965156794,1,1,0.999,0.9996666667,0.9971671388,0.996031746,1,1,0.995,1,1,1,1,0.9988571429,0.5226155359
GLLOVE twitter 100,None,0.998998999,0.9965156794,1,1,0.999,0.9996666667,0.9971671388,0.996031746,1,1,0.995,1,1,1,1,0.9988571429,0.5226155359
GLLOVE twitter 200,None,0.998998999,0.9965156794,1,1,0.999,0.9996666667,0.9971671388,0.996031746,1,1,0.995,1,1,1,1,0.9988571429,0.5226155359