,,vs mejor embedding,,,,,,,,,,,,,,,,,,,,
Embeddings,Pesos,Media (Diferencia),Media Ponderada (Diferecia),Media,Media Ponderada,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
GLOVE+W2V,"[1,1]",-0.018,-0.018,0.611,0.551,0.4418900193,0.6876059355,0.671294738,0.7722679858,0.770591733,0.7715967679,0.6897462598,0.6253087449,0.7711386265,0.6530041079,0.6528192187,0.7607828604,0.4788208491,0.7880271942,0.5595162087,0.3634869584,0.5080352579
GLOVE+W2V,"[2,1]",-0.018,-0.018,0.611,0.551,0.4419646804,0.6876960447,0.6713946402,0.7723025719,0.7705889841,0.7715914437,0.6898526576,0.6253657367,0.7712447841,0.6531146839,0.6523601873,0.7607828604,0.4787685607,0.7880271942,0.5589554122,0.3634720107,0.5080177814
GLOVE+W2V,"[1,2]",-0.018,-0.018,0.611,0.551,0.4419737498,0.6877432569,0.6713566614,0.7722941828,0.7705728928,0.7716031853,0.6897541714,0.6254013565,0.7711558412,0.6528030606,0.6528949739,0.7607828604,0.4785191854,0.7880271942,0.5596994934,0.3635184076,0.5080179763
GLOVE+FT,"[1,1]",0.000,0.000,0.674,0.618,0.5030758392,0.7263145715,0.7615916332,0.8354070138,0.8385359016,0.8365277456,0.7855720762,0.7341627017,0.8338167812,0.7358372664,0.7629635137,0.8626941065,0.4467137684,0.8518972323,0.6249379037,0.4260353067,0.5862150743
GLOVE+FT,"[2,1]",0.000,0.000,0.674,0.618,0.5030765312,0.7263216787,0.7616285385,0.8354181044,0.8385895891,0.8365452403,0.7854100242,0.7340614663,0.8339021376,0.7355490986,0.7630482695,0.8616887629,0.4476087042,0.8518972323,0.6253673918,0.4260133138,0.5861374502
GLOVE+FT,"[1,2]",0.000,0.000,0.674,0.618,0.5031024634,0.7261724274,0.7616325707,0.8354221706,0.838537018,0.8365457404,0.7855709849,0.7341000858,0.8338813365,0.7358707743,0.7630287682,0.8626941065,0.4471682751,0.8518972323,0.6249379037,0.4260410242,0.5862166354
GLOVE+jointcHYB,"[1,1]",0.002,0.004,0.653,0.601,0.5410352018,0.6246683266,0.6922837548,0.7771675558,0.7832959082,0.7795597585,0.7561566305,0.6683559238,0.8252847252,0.7729405436,0.6680812642,0.8632623442,0.3046884536,0.8772672126,0.8161147868,0.557873929,0.3727126218
GLOVE+jointcHYB,"[2,1]",0.002,0.004,0.653,0.601,0.540979215,0.6245297361,0.6923107236,0.7771761991,0.783279967,0.7795628761,0.7560634642,0.6681538279,0.8253040918,0.7728685017,0.6680362611,0.8632623442,0.3049981618,0.8772672126,0.8162625088,0.5578692566,0.3727372543
GLOVE+jointcHYB,"[1,2]",0.002,0.004,0.653,0.601,0.5410295688,0.6245627338,0.692278073,0.7771540532,0.783301484,0.7795532172,0.7561472184,0.6683652974,0.825378689,0.7729405436,0.6681315176,0.8632623442,0.3046884536,0.8772672126,0.8161147868,0.5578836626,0.3726974181
GLOVE+UKB,"[1,1]",0.003,0.028,0.632,0.597,0.5248548243,0.5558274216,0.6778630721,0.7545292932,0.755536555,0.7555884374,0.7118963725,0.6201896067,0.7793134766,0.7643977092,0.5883703039,0.8232890075,0.27624156,0.8732614262,0.7671531519,0.5451853953,0.4406949179
GLOVE+UKB,"[2,1]",0.003,0.027,0.632,0.596,0.5247897501,0.5555416104,0.6778143713,0.7545305926,0.7555269399,0.7555800547,0.7117609199,0.6197329224,0.7791664341,0.7644446202,0.5885930692,0.8231578757,0.27624156,0.8741516009,0.7667947893,0.5451647971,0.4406788588
GLOVE+UKB,"[1,2]",0.003,0.028,0.632,0.597,0.524880943,0.555728936,0.6778258264,0.7545380783,0.7555629096,0.7555989997,0.711898555,0.6202927169,0.7793708591,0.7643977092,0.5885263146,0.8232890075,0.2762978706,0.8732614262,0.7671367384,0.5452132742,0.4406986433
GLOVE+LEXVEC,"[1,1]",-0.001,0.001,0.628,0.571,0.4767142957,0.7175072203,0.7383423982,0.8073221313,0.805311112,0.8065745749,0.737020713,0.6737768935,0.8054949458,0.7155666735,0.7032549236,0.7439105717,0.439300884,0.7842439516,0.5788185495,0.3520175971,0.5315510682
GLOVE+LEXVEC,"[2,1]",-0.002,0.001,0.627,0.571,0.476686516,0.7173003498,0.7383858101,0.8073011745,0.8052027887,0.8065327177,0.7372864347,0.6736389134,0.8049261421,0.7158766214,0.7044062525,0.7433860446,0.4387820223,0.7793479905,0.5797322374,0.3519006883,0.5315479048
GLOVE+LEXVEC,"[1,2]",-0.001,0.001,0.628,0.571,0.4767388678,0.7170092082,0.7383757426,0.8073071808,0.8053747508,0.8065783827,0.7368862152,0.6737450231,0.8050681637,0.7153153644,0.703172418,0.7439105717,0.4403989401,0.7842439516,0.5788185495,0.3521051778,0.5315303672
GLOVE+PDC,"[1,1]",-0.032,-0.044,0.597,0.525,0.4268137668,0.6720665372,0.6875391768,0.7742805716,0.7681053081,0.7726244359,0.7652161305,0.6999638742,0.7963481801,0.7664517423,0.6710484675,0.7900689573,0.3430661187,0.8280850578,0.5106667331,0.2959214158,0.4764653763
GLOVE+PDC,"[2,1]",-0.032,-0.044,0.597,0.525,0.4268555929,0.6720332857,0.6876727245,0.7742605241,0.7680841992,0.7725960158,0.7654997216,0.7005386665,0.7962083104,0.7667348839,0.6717212635,0.7905497738,0.3430238857,0.8280850578,0.510499862,0.2959314452,0.4764841449
GLOVE+PDC,"[1,2]",-0.032,-0.044,0.597,0.525,0.4268517051,0.6722853376,0.6875737256,0.7742868338,0.7681052841,0.7726367371,0.7651799826,0.6998626388,0.796404128,0.7664986534,0.6709674619,0.7900689573,0.3430661187,0.8280850578,0.5109266144,0.2959175891,0.4764564456
W2V+FT,"[1,1]",-0.023,-0.022,0.651,0.596,0.4680837468,0.6975011969,0.7209114778,0.8114759327,0.8150790096,0.8130006465,0.7718226156,0.7147224999,0.8075126569,0.7390925571,0.7334489919,0.8180000258,0.4862055783,0.8389896985,0.5761814383,0.409619024,0.5660707912
W2V+FT,"[2,1]",-0.041,-0.044,0.633,0.574,0.4482294124,0.6836599132,0.691857452,0.7897957551,0.7931904711,0.7911445721,0.7407348147,0.6814441649,0.7863887352,0.7160290823,0.6922261681,0.7896537067,0.4892865709,0.8356515432,0.557130772,0.3877675035,0.5429244613
W2V+FT,"[1,2]",-0.008,-0.007,0.666,0.611,0.4880912835,0.7099682515,0.7440045557,0.8271099622,0.8312981531,0.82871298,0.7874835536,0.7349283415,0.8247847804,0.741838528,0.7579974235,0.84376742,0.4770490773,0.8476689022,0.5956506502,0.4228287362,0.5796060837
W2V+jointcHYB,"[1,1]",0.007,0.009,0.658,0.606,0.5384964776,0.6293862422,0.7020282763,0.7825328874,0.7878098603,0.7844140989,0.7614762478,0.6798543937,0.8251886095,0.7706134212,0.6757340384,0.8707150002,0.3140440527,0.8739290573,0.8161859122,0.5536858539,0.3934841946
W2V+jointcHYB,"[2,1]",0.014,0.014,0.665,0.611,0.5335335304,0.65123887,0.7143335081,0.7895131299,0.7940053989,0.7911785817,0.7612443551,0.6867567752,0.8209423068,0.7558582256,0.6880671332,0.8717203438,0.3499681858,0.8757094068,0.7943449415,0.5398400087,0.431959087
W2V+jointcHYB,"[1,2]",0.003,0.005,0.654,0.602,0.5389419527,0.6221861349,0.695701234,0.778463505,0.7839725088,0.780630517,0.7571910081,0.670681714,0.8243006158,0.7717292337,0.6686745548,0.8652074656,0.3048835295,0.8774897562,0.8177834982,0.5564819745,0.3795136919
W2V+UKB,"[1,1]",0.049,0.045,0.653,0.613,0.533964249,0.6276885309,0.7040370696,0.7814336822,0.7796963002,0.7808762786,0.7337231995,0.644344005,0.7873592162,0.7686582363,0.6396370657,0.830260847,0.3202430326,0.8779348436,0.7534423622,0.5319421079,0.4853149871
W2V+UKB,"[2,1]",0.044,0.032,0.648,0.600,0.5120299897,0.6727113789,0.7067520779,0.7849343137,0.7814190361,0.7840214688,0.7229123644,0.6372466516,0.7851220172,0.7207804998,0.6533150027,0.7970845074,0.4052402701,0.8530099507,0.6870249115,0.4782784969,0.5083840104
W2V+UKB,"[1,2]",0.035,0.036,0.639,0.604,0.5313663604,0.576715552,0.6875109905,0.7659460313,0.7664174376,0.7664651583,0.7191934884,0.6247095811,0.7822356789,0.7685945714,0.605144453,0.8314191777,0.2612038625,0.8890620279,0.7666388605,0.5436012971,0.457880427
W2V+LEXVEC,"[1,1]",-0.015,-0.016,0.614,0.554,0.4528287313,0.6985312341,0.6747957679,0.7773672309,0.7802313711,0.7783077505,0.687160158,0.6119617182,0.7769227795,0.6638036981,0.6316910214,0.7818076553,0.455817981,0.7920329806,0.5558997554,0.3578938605,0.515197186
W2V+LEXVEC,"[2,1]",-0.017,-0.018,0.612,0.552,0.446499569,0.6989142617,0.6702238685,0.7733024361,0.773563014,0.7734724763,0.6833364742,0.6143696944,0.769153193,0.6521664109,0.638940268,0.7669241986,0.4766207147,0.7911428058,0.5581484124,0.360745222,0.5110837574
W2V+LEXVEC,"[1,2]",-0.010,-0.011,0.619,0.559,0.4644649522,0.7051003231,0.69152643,0.786794196,0.7910924893,0.788146704,0.6982614941,0.6211884629,0.7849419797,0.6854146063,0.6350295001,0.791227288,0.4487349157,0.7880271942,0.5577462803,0.3536052606,0.5207824622
W2V+PDC,"[1,1]",-0.006,-0.011,0.598,0.530,0.4243552103,0.6675428006,0.6873720621,0.7779011452,0.7722679776,0.7761712114,0.7644098262,0.7033511367,0.7984433576,0.7552852408,0.6866465359,0.7746828288,0.3918592282,0.8198509414,0.4899282062,0.3104996433,0.4761602068
W2V+PDC,"[2,1]",0.000,-0.002,0.604,0.539,0.4267069928,0.6648278479,0.6874462523,0.780963331,0.7775165994,0.7796811274,0.7578524478,0.6970280468,0.7976672597,0.7345137051,0.6965839667,0.7700276507,0.4343133763,0.8064983202,0.4977492652,0.3318316015,0.4845694542
W2V+PDC,"[1,2]",-0.008,-0.016,0.596,0.525,0.4243120241,0.6675374702,0.6867397755,0.7759560465,0.7690682321,0.7738865925,0.7672244573,0.7047001925,0.798058895,0.7660429462,0.680311602,0.7822229059,0.3681042117,0.8207411162,0.4956592726,0.3006905341,0.4720431876
FT+jointcHYB,"[1,1]",-0.009,-0.004,0.665,0.614,0.5473606268,0.6347658895,0.7091618941,0.7915358325,0.7985459397,0.7941461761,0.7689354158,0.6772515184,0.8385293165,0.7814599225,0.6806933781,0.8834347826,0.3064159815,0.8846111542,0.8136390756,0.5509500896,0.4196801467
FT+jointcHYB,"[2,1]",0.005,0.012,0.679,0.630,0.5496383019,0.6704488864,0.7362896825,0.8099037767,0.8186459729,0.8130542647,0.7819545509,0.6984085981,0.8434383868,0.7798213871,0.7109196987,0.8888330408,0.3408358178,0.8866140474,0.7823028633,0.5341158924,0.488536076
FT+jointcHYB,"[1,2]",-0.018,-0.013,0.656,0.605,0.5427305612,0.6221749664,0.6964567521,0.7811017696,0.7872807758,0.7834998538,0.7619832742,0.6709051818,0.8322753446,0.7790624335,0.6698671365,0.8733813464,0.2935872268,0.8792701057,0.8178217965,0.5552315614,0.390155957
FT+UKB,"[1,1]",0.015,0.022,0.689,0.640,0.5396897854,0.6560108512,0.7497047314,0.8134150521,0.8102637352,0.8127284296,0.7670838212,0.6971431552,0.8159012568,0.7512776982,0.7289201817,0.8735343334,0.4631202554,0.8863915037,0.7521128643,0.5338886796,0.542827519
FT+UKB,"[2,1]",0.020,0.020,0.694,0.638,0.5291873106,0.701334773,0.7727638365,0.8327323581,0.8316267423,0.8325951585,0.7822150891,0.7279119765,0.8278848683,0.7367838641,0.7632230315,0.8739277288,0.5112436713,0.8630244166,0.7047187239,0.4854876673,0.5735152821
FT+UKB,"[1,2]",-0.017,0.002,0.657,0.620,0.5300480317,0.5959582603,0.7114869943,0.7813847939,0.7782333831,0.7806090273,0.7335240447,0.6446758322,0.8000249619,0.7516931959,0.6617380797,0.8480947687,0.3360594748,0.8661400282,0.7758550717,0.5484383841,0.4961410184
FT+LEXVEC,"[1,1]",-0.001,-0.002,0.673,0.616,0.5025823814,0.731470088,0.7556194265,0.8312053489,0.8395701589,0.8340586267,0.7716488325,0.712033387,0.8128061898,0.7143268819,0.7688461667,0.8559626753,0.4640513909,0.8376544363,0.6423964552,0.4182020657,0.5916985529
FT+LEXVEC,"[2,1]",0.003,0.001,0.677,0.619,0.5032618179,0.7297686736,0.7601982775,0.8342706433,0.8408347893,0.8364855185,0.7795045369,0.7243514889,0.8228007815,0.7244043772,0.7691904403,0.8682234965,0.4619437667,0.8585735429,0.6344304098,0.4245335063,0.5908164924
FT+LEXVEC,"[1,2]",-0.012,-0.013,0.662,0.605,0.495731801,0.7340764019,0.7461722029,0.8235776318,0.8324486804,0.8264879724,0.7548003146,0.6875617258,0.7971715458,0.7011666614,0.755968443,0.8373856735,0.4678422989,0.8022699902,0.6342307115,0.4009251284,0.5853199368
FT+PDC,"[1,1]",-0.069,-0.073,0.605,0.545,0.4367043526,0.6927756664,0.7051685794,0.7941402477,0.783767536,0.7909999936,0.7761819245,0.7065254298,0.8051162215,0.7767336358,0.6912646023,0.7899815361,0.3155584049,0.8296428636,0.4849494279,0.3174498384,0.5129486535
FT+PDC,"[2,1]",-0.043,-0.042,0.631,0.576,0.4639316604,0.7069271288,0.7272849299,0.8153587471,0.808729971,0.8133052046,0.7854217552,0.7224415139,0.8159536183,0.7746042099,0.7132823605,0.813585256,0.3509857982,0.8550128439,0.5183865752,0.3592265796,0.5484850603
FT+PDC,"[1,2]",-0.078,-0.088,0.596,0.530,0.4263577057,0.6834807101,0.6937287569,0.7812639605,0.7713432141,0.778437155,0.7700186272,0.700903114,0.7998800712,0.7769212799,0.6764795895,0.7874463217,0.3179335043,0.8269723394,0.4788982972,0.2992051326,0.4899772359
jointcHYB+UKB,"[1,1]",0.023,0.018,0.637,0.586,0.5357138801,0.593576331,0.6872031538,0.7653299089,0.7680676181,0.7669087758,0.7510941412,0.652535076,0.8183565092,0.7651616889,0.6578910662,0.8429806294,0.2973077467,0.8619116982,0.7747498923,0.541937852,0.3498462732
jointcHYB+UKB,"[2,1]",0.033,0.025,0.647,0.593,0.5401344179,0.6093794573,0.6909051142,0.7739268604,0.778846249,0.7760104877,0.7570751982,0.6637845818,0.8264861706,0.77039562,0.6687398093,0.8645955173,0.3092697208,0.870590902,0.7973322086,0.550924493,0.3484653453
jointcHYB+UKB,"[1,2]",0.007,0.008,0.621,0.576,0.5270822118,0.5639402973,0.6805442779,0.750919279,0.7529599747,0.752322638,0.738654192,0.6359748346,0.8049010373,0.7607587533,0.636122325,0.8107222122,0.2727764488,0.8621342419,0.7421908702,0.5310775702,0.3520477511
jointcHYB+LEXVEC,"[1,1]",0.002,0.007,0.653,0.604,0.5384418569,0.6350953593,0.6951576563,0.7800252939,0.7870777776,0.7826505199,0.7557884668,0.671828299,0.8248930898,0.7711461965,0.6691530876,0.861404644,0.3034797875,0.852119776,0.816992912,0.5562911477,0.3870544688
jointcHYB+LEXVEC,"[2,1]",0.002,0.006,0.653,0.603,0.5393497602,0.6284115397,0.6928499941,0.7778195486,0.7847652714,0.7804228228,0.755677704,0.6691646824,0.8262222113,0.7718699668,0.6679110025,0.8589568509,0.3028945597,0.864137135,0.8186479455,0.5572835618,0.3829354862
jointcHYB+LEXVEC,"[1,2]",0.006,0.012,0.657,0.609,0.5379824498,0.64748525,0.7040654261,0.7870147724,0.7948156511,0.7898220518,0.7567029423,0.6767742121,0.8260335664,0.7707306988,0.6745632082,0.8572739931,0.3127287987,0.8470012712,0.8121563844,0.5530039861,0.4034075487
jointcHYB+PDC,"[1,1]",0.007,0.003,0.658,0.600,0.518138599,0.6405201881,0.720174877,0.7915059781,0.7962582876,0.7932681774,0.7865645767,0.7172882556,0.8325830581,0.7860253713,0.713026593,0.8556785564,0.3786966323,0.8703683583,0.730329341,0.4993347642,0.4426226797
jointcHYB+PDC,"[2,1]",0.006,0.008,0.657,0.605,0.5363032671,0.6249985578,0.7095257237,0.787585663,0.7952667762,0.7903580941,0.773671482,0.6979144192,0.8318915993,0.7851893497,0.6953868847,0.8674367058,0.3349754963,0.8601313487,0.7957291513,0.5413847407,0.3954210358
jointcHYB+PDC,"[1,2]",-0.014,-0.025,0.637,0.572,0.4773284654,0.6518934945,0.7166319276,0.7869521489,0.7857836475,0.7870619846,0.7857181686,0.7227009765,0.8253801235,0.7819491375,0.7101283945,0.8247970229,0.3992097687,0.8614666108,0.6160116653,0.4077974654,0.479064995
UKB+LEXVEC,"[1,1]",0.014,0.042,0.643,0.612,0.5303544275,0.5879243254,0.7010235589,0.7772099359,0.775804481,0.7772443442,0.7284775151,0.6449746642,0.7809833065,0.7838389821,0.6136297842,0.8165138657,0.2854402939,0.8799377368,0.7493909497,0.5436552435,0.4770391425
UKB+LEXVEC,"[2,1]",0.007,0.033,0.636,0.603,0.5262835679,0.5605846807,0.6864015924,0.7627374245,0.7619945855,0.762963201,0.7150960818,0.6273188305,0.7740966928,0.7722603336,0.5930363736,0.8199014366,0.2765894789,0.8779348436,0.7575649001,0.5451228292,0.4635640601
UKB+LEXVEC,"[1,2]",0.033,0.055,0.662,0.625,0.537375544,0.64382047,0.7335497215,0.8037265897,0.8026264304,0.8036241958,0.7572056037,0.6824861399,0.7966386789,0.7875147967,0.6678037452,0.8226552039,0.3232327312,0.8808279115,0.737942495,0.5304098964,0.5059613957
UKB+PDC,"[1,1]",0.034,-0.002,0.630,0.566,0.4691993904,0.6837393616,0.7052481373,0.7929870197,0.7759586473,0.7878490788,0.7670096155,0.6961780441,0.7836049681,0.7909124958,0.6570472584,0.8037285174,0.3520717878,0.8648047661,0.6212421182,0.392666389,0.4795376967
UKB+PDC,"[2,1]",0.049,0.029,0.645,0.597,0.5041831116,0.6502760975,0.7106657955,0.7945195483,0.7753216835,0.7886973676,0.7621621044,0.6828408389,0.7852202846,0.7912174176,0.6514166227,0.8362491981,0.2906047777,0.8843886105,0.7060181303,0.4886524706,0.4692314901
UKB+PDC,"[1,2]",0.011,-0.031,0.607,0.537,0.4390355953,0.685307262,0.695970974,0.783981265,0.7719840791,0.7804569672,0.7618826055,0.6911740144,0.7846686956,0.7809673566,0.6532587488,0.7849329627,0.3480415598,0.83364865,0.5542283084,0.3243749605,0.4731020469
LEXVEC+PDC,"[1,1]",-0.030,-0.043,0.599,0.527,0.4264140235,0.6744667422,0.6847068019,0.7740706874,0.7671845238,0.7721003049,0.765117508,0.6991374932,0.7939847396,0.7660915326,0.6740501731,0.8039033598,0.356916508,0.8260821646,0.4938537815,0.3013758237,0.4828282743
LEXVEC+PDC,"[2,1]",-0.025,-0.036,0.604,0.534,0.4297447957,0.6780997936,0.6887046201,0.7775140693,0.7711996592,0.7755392084,0.7653121614,0.6965844856,0.7961602525,0.7632299595,0.683246553,0.8238353899,0.3828595923,0.8149549803,0.4848235906,0.3110168019,0.4943727928
LEXVEC+PDC,"[1,2]",-0.032,-0.045,0.597,0.525,0.4257788204,0.6724970308,0.6854390824,0.7735388047,0.7667961131,0.7716799397,0.7647410234,0.6992642249,0.7941102638,0.7683951995,0.6708842062,0.7955764919,0.3517982793,0.8238567278,0.5023997725,0.2981907263,0.4779970024
GLOVE+W2V+FT,[1 1 1],,,0.651,0.596,0.4680223677,0.6968046907,0.720897941,0.8116147077,0.8150455007,0.8130807654,0.7720590097,0.7142065742,0.8080513349,0.7384106717,0.7336897584,0.8180000258,0.4835127263,0.8389896985,0.5756972384,0.4096070001,0.5682862186
GLOVE+W2V+jointcHYB,[1 1 1],,,0.658,0.606,0.5384589725,0.6301147308,0.7020499691,0.7829416808,0.7881509396,0.784807179,0.7611578728,0.6799582538,0.8250178967,0.7706938401,0.6758345453,0.8707150002,0.3135996015,0.8739290573,0.8160628105,0.5536687873,0.3939436679
GLOVE+W2V+UKB,[1 1 1],,,0.655,0.615,0.5338973995,0.6318821407,0.7038992147,0.7827517826,0.7815914783,0.7824218627,0.7342416842,0.6502921488,0.7842885368,0.769557923,0.6394908057,0.830260847,0.3317738381,0.8779348436,0.7540989044,0.5319232343,0.4937285534
GLOVE+W2V+LEXVEC,[1 1 1],,,0.614,0.554,0.4528483264,0.6984271643,0.674805207,0.7773508655,0.7803806374,0.7783593236,0.6889323166,0.6158945999,0.7764759135,0.6638472584,0.6318357813,0.7816765235,0.4548224906,0.7920329806,0.5561350163,0.3578123413,0.5164767032
GLOVE+W2V+PDC,[1 1 1],,,0.599,0.531,0.4243042245,0.6668229422,0.6874537408,0.7781714292,0.7722969731,0.7763381509,0.7636612221,0.7026766088,0.798186571,0.7552936178,0.6866465359,0.7746828288,0.3892729641,0.8198509414,0.4899282062,0.310479966,0.4821499021
GLOVE+FT+jointcHYB,[1 1 1],,,0.664,0.613,0.5473182169,0.6346567431,0.7092063795,0.791534702,0.798553028,0.7941561028,0.7688292908,0.677309635,0.8382789855,0.7814599225,0.6804016082,0.8834347826,0.3065326248,0.8846111542,0.8138250958,0.5509452187,0.4139595757
GLOVE+FT+UKB,[1 1 1],,,0.688,0.638,0.5396114351,0.6592781353,0.7495177436,0.8133885114,0.8102966919,0.8127128397,0.7664406601,0.6958762126,0.8162814156,0.7501652365,0.7293657122,0.8735343334,0.4588688073,0.8863915037,0.7516341356,0.533887143,0.5332051062
GLOVE+FT+LEXVEC,[1 1 1],,,0.673,0.616,0.50241276,0.7315211075,0.7556262079,0.8311942336,0.839573496,0.8340476766,0.7716943926,0.7119816444,0.8130106148,0.7142112797,0.7689391731,0.8559626753,0.4643369659,0.8376544363,0.64267275,0.4181999423,0.5916656651
GLOVE+FT+PDC,[1 1 1],,,0.605,0.545,0.4367313079,0.6928297319,0.7052140598,0.7941586155,0.7837789037,0.7910030407,0.776142912,0.706481936,0.8052073162,0.7765828503,0.6912631022,0.7899815361,0.3159747009,0.8296428636,0.4849494279,0.3174596739,0.5104941668
GLOVE+jointcHYB+UKB,[1 1 1],,,0.641,0.594,0.5357232383,0.5955003532,0.6869300754,0.7653451024,0.7680645488,0.7669159845,0.750467349,0.6521882509,0.8181979901,0.7634678655,0.6597144411,0.8433740247,0.3041816585,0.8619116982,0.7749359126,0.5419310574,0.3936326711
GLOVE+jointcHYB+LEXVEC,[1 1 1],,,0.652,0.603,0.5384213952,0.6350725147,0.6951127782,0.7800380387,0.7870661158,0.7826568605,0.7556446934,0.6717263137,0.8247883668,0.7707625313,0.6689423232,0.861404644,0.3035099538,0.852119776,0.816992912,0.5562794233,0.3788793867
GLOVE+jointcHYB+PDC,[1 1 1],,,0.659,0.603,0.5181698031,0.6408818941,0.7201878901,0.7914987857,0.7962753272,0.7932705894,0.7866237776,0.7172395126,0.8327451636,0.7859751095,0.7132036051,0.8556785564,0.378515634,0.8703683583,0.730329341,0.4993905926,0.4543037192
GLOVE+UKB+LEXVEC,[1 1 1],,,0.643,0.609,0.5304071404,0.5868879425,0.6999975676,0.7772121198,0.7758031426,0.7772343503,0.7298770554,0.6471272294,0.7822313752,0.7808450528,0.6180723385,0.8165138657,0.291224194,0.8799377368,0.749637153,0.543608233,0.4628523527
GLOVE+UKB+PDC,[1 1 1],,,0.632,0.569,0.4692677566,0.6851328816,0.7052664787,0.7929814725,0.7759298799,0.7878486769,0.7673745054,0.6970625418,0.7846981042,0.7902289351,0.6583748493,0.803990781,0.3640337619,0.8648047661,0.621116281,0.3926747498,0.4948956932
GLOVE+LEXVEC+PDC,[1 1 1],,,0.599,0.527,0.4264401603,0.674459635,0.6847021937,0.7740486728,0.7671504627,0.7720861447,0.7651184628,0.6990977489,0.7940937663,0.7662171872,0.6741154275,0.8039033598,0.3569728185,0.8260821646,0.4933449613,0.3011907905,0.4851968599
W2V+FT+jointcHYB,[1 1 1],,,0.669,0.616,0.541768278,0.6392655124,0.7135641129,0.7928864364,0.7998458316,0.795438189,0.7753428824,0.6916040775,0.8347965869,0.7882854779,0.6943053106,0.8812273977,0.3258893835,0.8972961444,0.813031774,0.5478155634,0.4336383632
W2V+FT+UKB,[1 1 1],,,0.679,0.632,0.5280827464,0.6503608763,0.7384674102,0.8105559155,0.8092424421,0.8103875531,0.769171537,0.6999781222,0.8021818255,0.7559520477,0.7215794289,0.839483782,0.4658955621,0.8779348436,0.7224645126,0.518276831,0.5431501009
W2V+FT+LEXVEC,[1 1 1],,,0.655,0.596,0.4718714466,0.7080863649,0.7177670508,0.8109026969,0.8200952716,0.8142286666,0.7665124104,0.7063904492,0.7992216073,0.7314561109,0.7327596947,0.825758656,0.4828108553,0.8550128439,0.5801671966,0.404337677,0.573379439
