Embeddings,Método,SimLex 999,MTurk 287,MTurk 771,MEN DEV,MEN TEST,MEN ALL,WS353 all,WS353 relatedness,WS353 similarity,WS353 set1,WS353 set2,RG65,VERB 143,MC 30,YP 130,SimVerb 3500,RW
GLOVE + jointcHYB,DRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE + jointcHYB,PCA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE + jointcHYB,tSVD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT + jointcHYB,DRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT + jointcHYB,PCA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT + jointcHYB,tSVD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V + jointcHYB,DRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
W2V + jointcHYB,PCA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
W2V + jointcHYB,tSVD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
LEXVEC + jointcHYB,DRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
LEXVEC + jointcHYB,PCA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
LEXVEC + jointcHYB,tSVD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE + UKB,DRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE + UKB,PCA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
GLOVE + UKB,tSVD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
FT + UKB,DRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT + UKB,PCA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT + UKB,tSVD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
LEXVEC + UKB,DRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
LEXVEC + UKB,PCA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
LEXVEC + UKB,tSVD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9980334317
Sin aplicar normalización L2,,,,,,,,,,,,,,,,,,
GLOVE + jointcHYB,DRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE + UKB,PCA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
GLOVE + UKB,tSVD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT + jointcHYB,DRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT + jointcHYB,PCA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
FT + jointcHYB,tSVD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
LEXVEC + jointcHYB,DRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
LEXVEC + jointcHYB,PCA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
LEXVEC + jointcHYB,tSVD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9985250737
W2V + jointcHYB,DRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
W2V + jointcHYB,PCA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954
W2V + jointcHYB,tSVD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9847590954